date,time,subject,blocknum,trialnum,response,latency,stimulusitem4
82416,13:11:41,1,10,1,Male,19192.0,
82416,13:11:41,1,10,1,20,19192.0,
82416,13:11:41,1,10,1,14,19192.0,
82416,13:11:41,1,10,2,right,8918.0,
82416,13:11:41,1,10,2,,,
82416,13:11:41,1,10,2,,,
82416,13:11:41,1,10,2,,,
82416,13:11:41,1,10,2,,,
82416,13:11:41,1,10,2,4,8918.0,
82416,13:11:41,1,10,2,,,
82416,13:11:41,1,10,2,,,
82416,13:11:41,1,10,2,,,
82416,13:11:41,1,10,2,,,
82416,13:11:41,1,10,2,,,
82416,13:11:41,1,10,2,,,
82416,13:11:41,1,10,2,No. When did you first learn English? :,8918.0,
82416,13:11:41,1,10,2,5,8918.0,
82416,13:11:41,1,10,3,Yes,5970.0,
82416,13:11:41,1,10,3,,,
82416,13:11:41,1,10,3,,,
82416,13:11:41,1,10,3,,,
82416,13:11:41,1,10,3,,,
82416,13:11:41,1,10,3,,,
82416,13:11:41,1,10,3,,,
